,Distance,Delivery_Person_Experience,Restaurant_Rating,Customer_Rating,Delivery_Time,Order_Cost,Tip_Amount,Customer_Latitude,Customer_Longitude,Restaurant_Latitude,Restaurant_Longitude,Calculated_Distance,Order_Hour,Rush_Hour,Delivery_Status_Binary
Distance,1.0,0.01756243440589263,0.06467608863159031,0.003430490450345558,-0.07514271018515736,-0.02227542766696826,-0.006465586188459589,-0.08194086357470881,-0.029655411785040876,-0.11423391869409837,-0.05859776066934379,-0.022074820583563973,-0.09947321653728167,-0.24467421451679958,-0.12370634801156027
Delivery_Person_Experience,0.01756243440589263,1.0,-0.004491804483730944,-0.1224466357208177,-0.019097957386281606,0.06101459142556209,-0.0692177093277063,-0.018153648283785868,-0.015310616017575145,-0.03963712766940223,-0.01712664807640441,-0.049197292676163046,0.06621476033123526,0.11867896621764064,-0.040173016944587706
Restaurant_Rating,0.06467608863159031,-0.004491804483730944,1.0,0.10166066625611982,-0.09185498862325142,-0.10687021447108387,-0.035758650105387056,-0.003811474875064419,0.024809950515674674,0.06269364497913267,-0.040985102462601744,0.03734906662344536,0.1607984004228069,0.03781848530346016,-0.07058707350945197
Customer_Rating,0.003430490450345558,-0.1224466357208177,0.10166066625611982,1.0,-0.021952396953771026,0.14233582074558526,-0.07488449332127405,0.05260534466854747,-0.004769677628102634,0.10771087853158554,0.0725793734549063,-0.038963538315891506,0.06581094072223452,0.0612282318712692,0.0007190949677840395
Delivery_Time,-0.07514271018515736,-0.019097957386281606,-0.09185498862325142,-0.021952396953771026,1.0,-0.009307143960240839,-0.029153549965417205,-0.03714570602521579,0.008252622128872556,0.018547639908804744,0.08396355725819081,-0.17082174940441508,-0.017208999755015792,-0.01198409214541484,0.8477392646420936
Order_Cost,-0.02227542766696826,0.06101459142556209,-0.10687021447108387,0.14233582074558526,-0.009307143960240839,1.0,0.034461551241362486,-0.009542172242224452,-0.1190659260535304,-0.051930601576098044,0.012516880019912219,0.12562386489009636,-0.036997111275895736,0.023435016659400627,-0.0064168988899151284
Tip_Amount,-0.006465586188459589,-0.0692177093277063,-0.035758650105387056,-0.07488449332127405,-0.029153549965417205,0.034461551241362486,1.0,0.04449907125317069,-0.02037016541573417,0.10446515754056147,-0.04316901533445658,-0.036216349447728814,-0.02103459001762528,-0.07281993719009924,-0.07502506919059009
Customer_Latitude,-0.08194086357470881,-0.018153648283785868,-0.003811474875064419,0.05260534466854747,-0.03714570602521579,-0.009542172242224452,0.04449907125317069,1.0,0.027628142123689844,-0.004405142534115876,0.060255985674765006,0.05434545850888163,0.05826641472485372,0.03955819681074416,-0.061090878909228374
Customer_Longitude,-0.029655411785040876,-0.015310616017575145,0.024809950515674674,-0.004769677628102634,0.008252622128872556,-0.1190659260535304,-0.02037016541573417,0.027628142123689844,1.0,0.054054895228199284,0.07343186496365545,-0.0907256609637544,-0.05111584921334866,-0.08443742049332459,-0.045735421363500166
Restaurant_Latitude,-0.11423391869409837,-0.03963712766940223,0.06269364497913267,0.10771087853158554,0.018547639908804744,-0.051930601576098044,0.10446515754056147,-0.004405142534115876,0.054054895228199284,1.0,0.014447435705146372,-0.1049336120371642,0.029046910171445072,-0.05332804765834321,0.04218973884573939
Restaurant_Longitude,-0.05859776066934379,-0.01712664807640441,-0.040985102462601744,0.0725793734549063,0.08396355725819081,0.012516880019912219,-0.04316901533445658,0.060255985674765006,0.07343186496365545,0.014447435705146372,1.0,-0.015930710396640704,0.005754473780166459,0.03661205211209073,0.03629975302881057
Calculated_Distance,-0.022074820583563973,-0.049197292676163046,0.03734906662344536,-0.038963538315891506,-0.17082174940441508,0.12562386489009636,-0.036216349447728814,0.05434545850888163,-0.0907256609637544,-0.1049336120371642,-0.015930710396640704,1.0,-0.03871179139716357,-0.05273223500386017,-0.153509823562966
Order_Hour,-0.09947321653728167,0.06621476033123526,0.1607984004228069,0.06581094072223452,-0.017208999755015792,-0.036997111275895736,-0.02103459001762528,0.05826641472485372,-0.05111584921334866,0.029046910171445072,0.005754473780166459,-0.03871179139716357,1.0,0.7724770845824924,-0.07576982379554671
Rush_Hour,-0.24467421451679958,0.11867896621764064,0.03781848530346016,0.0612282318712692,-0.01198409214541484,0.023435016659400627,-0.07281993719009924,0.03955819681074416,-0.08443742049332459,-0.05332804765834321,0.03661205211209073,-0.05273223500386017,0.7724770845824924,1.0,-0.012619866434564593
Delivery_Status_Binary,-0.12370634801156027,-0.040173016944587706,-0.07058707350945197,0.0007190949677840395,0.8477392646420936,-0.0064168988899151284,-0.07502506919059009,-0.061090878909228374,-0.045735421363500166,0.04218973884573939,0.03629975302881057,-0.153509823562966,-0.07576982379554671,-0.012619866434564593,1.0
